day,url,role,expected_sha256,actual_sha256,hash_match,download_ok,parse_ok,rows,duplicate_timestamp_rows,timestamp_unit_source,first_open_utc,last_open_utc,full_day_5m_continuity,error
2024-01-09,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-09.zip,NEXT_DAY,,b08f0bbd1006d60a7e305e429e1a18f260c710cc1e66dedffc513a73805425b5,NOT_PREDECLARED,True,True,288,0,milliseconds,2024-01-09T00:00:00+00:00,2024-01-09T23:55:00+00:00,True,
2024-01-10,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-10.zip,EVENT_DAY,e6526917756ca19540c55bc540fcfed723108a2d1a59a3bb120460f6594e4dd0,e6526917756ca19540c55bc540fcfed723108a2d1a59a3bb120460f6594e4dd0,True,True,True,288,0,milliseconds,2024-01-10T00:00:00+00:00,2024-01-10T23:55:00+00:00,True,
2024-01-11,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-11.zip,NEXT_DAY,,53ab4e762fc090987769e5505879efb49b081f960759daa16428b5d6dc1735a6,NOT_PREDECLARED,True,True,288,0,milliseconds,2024-01-11T00:00:00+00:00,2024-01-11T23:55:00+00:00,True,
2024-01-18,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-18.zip,EVENT_DAY,536400afaa15ceb2ea6ac3ae1aa9ede8b70df36c64c0ae74030f5885f400fbb6,536400afaa15ceb2ea6ac3ae1aa9ede8b70df36c64c0ae74030f5885f400fbb6,True,True,True,288,0,milliseconds,2024-01-18T00:00:00+00:00,2024-01-18T23:55:00+00:00,True,
2024-01-19,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-19.zip,NEXT_DAY,,3f468c1810447407a64caa7545122b502be957fc58ca1c6f523b8f6343fc42df,NOT_PREDECLARED,True,True,288,0,milliseconds,2024-01-19T00:00:00+00:00,2024-01-19T23:55:00+00:00,True,
2024-01-26,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-26.zip,EVENT_DAY,27646e7b1cb804524a97f395264791948596834e61b85ee6c2628e2faaa7a98e,27646e7b1cb804524a97f395264791948596834e61b85ee6c2628e2faaa7a98e,True,True,True,288,0,milliseconds,2024-01-26T00:00:00+00:00,2024-01-26T23:55:00+00:00,True,
2024-01-27,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-27.zip,NEXT_DAY,,0faf1339393b96feb1977b180b2a72af28cc6f659fceec7a8f9fe228ba1da199,NOT_PREDECLARED,True,True,288,0,milliseconds,2024-01-27T00:00:00+00:00,2024-01-27T23:55:00+00:00,True,
2024-01-28,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-28.zip,EVENT_DAY,16cff8172908feb2b28bac18ddfb1f8bc14b305894d84ddc7c563403b90f5b18,16cff8172908feb2b28bac18ddfb1f8bc14b305894d84ddc7c563403b90f5b18,True,True,True,288,0,milliseconds,2024-01-28T00:00:00+00:00,2024-01-28T23:55:00+00:00,True,
2024-01-29,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01-29.zip,NEXT_DAY,,c48054b26e70093aec23d2a042bbccb8e693f1f0e3b52a63739452113f5b8d6c,NOT_PREDECLARED,True,True,288,0,milliseconds,2024-01-29T00:00:00+00:00,2024-01-29T23:55:00+00:00,True,
2024-02-07,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02-07.zip,EVENT_DAY,1ad46358854ae8d7fb2fc8e11e2a40306ead68bdd656e7120befdc7a738a8c23,1ad46358854ae8d7fb2fc8e11e2a40306ead68bdd656e7120befdc7a738a8c23,True,True,True,288,0,milliseconds,2024-02-07T00:00:00+00:00,2024-02-07T23:55:00+00:00,True,
2024-02-08,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02-08.zip,NEXT_DAY,,8dae31473675c518e737bdab497b1e70acb0788496a26516606de65aa0a393af,NOT_PREDECLARED,True,True,288,0,milliseconds,2024-02-08T00:00:00+00:00,2024-02-08T23:55:00+00:00,True,
2024-02-17,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02-17.zip,EVENT_DAY,2ed469cd3a16e9795ca888c0b3c431a7873cc4fcc0b7f223eff274ad5aa5324d,2ed469cd3a16e9795ca888c0b3c431a7873cc4fcc0b7f223eff274ad5aa5324d,True,True,True,288,0,milliseconds,2024-02-17T00:00:00+00:00,2024-02-17T23:55:00+00:00,True,
2024-02-18,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02-18.zip,NEXT_DAY,,5286672ebde379d44925281370a21c2a1645979984e4f3c1c46ff8d38c5e0bff,NOT_PREDECLARED,True,True,288,0,milliseconds,2024-02-18T00:00:00+00:00,2024-02-18T23:55:00+00:00,True,
2024-02-25,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02-25.zip,EVENT_DAY,52a21a8043b4eda0ee8ff2e212bd2215588c6e0798c94558769e8ea73aa8e889,52a21a8043b4eda0ee8ff2e212bd2215588c6e0798c94558769e8ea73aa8e889,True,True,True,288,0,milliseconds,2024-02-25T00:00:00+00:00,2024-02-25T23:55:00+00:00,True,
2024-02-26,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02-26.zip,EVENT_DAY,1824179543c6319ea5ee4ad27af14ca1867f81ed1a5b3ea80af84a821898f716,1824179543c6319ea5ee4ad27af14ca1867f81ed1a5b3ea80af84a821898f716,True,True,True,288,0,milliseconds,2024-02-26T00:00:00+00:00,2024-02-26T23:55:00+00:00,True,
2024-02-27,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02-27.zip,EVENT_DAY,b647883e59c5839c6d5b0cecb200e575169b012a747702d1945ec8349057567b,b647883e59c5839c6d5b0cecb200e575169b012a747702d1945ec8349057567b,True,True,True,288,0,milliseconds,2024-02-27T00:00:00+00:00,2024-02-27T23:55:00+00:00,True,
